t,P_L,P_S1,P_S2,P_S3,P_R,norm
484.9225,8.680327e-01,1.955641e-03,1.276285e-02,4.299308e-05,9.005876e-05,1.0000000000
488.2667,8.674005e-01,1.964207e-03,1.301653e-02,4.461772e-05,9.409746e-05,1.0000000000
491.6110,8.666485e-01,1.974611e-03,1.328683e-02,4.663701e-05,9.765274e-05,1.0000000000
494.9553,8.659701e-01,1.982711e-03,1.354775e-02,4.799578e-05,1.021447e-04,1.0000000000
498.2996,8.652870e-01,1.989705e-03,1.382161e-02,5.041433e-05,1.060368e-04,1.0000000000
501.6439,8.645079e-01,1.995229e-03,1.409455e-02,5.177016e-05,1.107113e-04,1.0000000000
504.9882,8.638939e-01,2.000531e-03,1.437335e-02,5.418438e-05,1.152749e-04,1.0000000000
508.3325,8.630737e-01,2.003344e-03,1.465245e-02,5.589870e-05,1.201049e-04,1.0000000000
511.6768,8.624375e-01,2.005420e-03,1.494186e-02,5.808137e-05,1.250817e-04,1.0000000000
515.0211,8.616526e-01,2.007643e-03,1.522311e-02,6.024612e-05,1.305849e-04,1.0000000000
518.3654,8.609724e-01,2.004481e-03,1.552365e-02,6.223860e-05,1.355469e-04,1.0000000000
521.7097,8.601937e-01,2.007054e-03,1.580802e-02,6.463562e-05,1.420212e-04,1.0000000000
525.0540,8.595116e-01,1.999550e-03,1.611638e-02,6.686767e-05,1.469956e-04,1.0000000000
528.3983,8.587265e-01,1.999750e-03,1.640890e-02,6.893231e-05,1.541947e-04,1.0000000000
531.7426,8.580197e-01,1.990994e-03,1.671606e-02,7.183809e-05,1.597140e-04,1.0000000000
535.0868,8.572628e-01,1.987179e-03,1.702627e-02,7.358735e-05,1.671747e-04,1.0000000000
538.4311,8.565166e-01,1.977083e-03,1.732633e-02,7.653475e-05,1.734560e-04,1.0000000000
541.7754,8.557767e-01,1.969882e-03,1.764806e-02,7.898530e-05,1.814933e-04,1.0000000000
545.1197,8.550157e-01,1.958713e-03,1.795869e-02,8.109787e-05,1.880546e-04,1.0000000000
548.4640,8.542736e-01,1.947566e-03,1.826955e-02,8.442912e-05,1.970138e-04,1.0000000000
551.8083,8.535100e-01,1.934637e-03,1.860163e-02,8.637432e-05,2.040626e-04,1.0000000000
555.1526,8.527562e-01,1.922664e-03,1.890901e-02,8.941576e-05,2.134899e-04,1.0000000000
558.4969,8.520030e-01,1.904216e-03,1.923963e-02,9.215447e-05,2.214795e-04,1.0000000000
561.8412,8.512275e-01,1.893350e-03,1.956540e-02,9.469685e-05,2.313093e-04,1.0000000000
565.1855,8.504842e-01,1.871049e-03,1.988397e-02,9.757739e-05,2.401728e-04,1.0000000000
568.5298,8.497100e-01,1.857681e-03,2.022263e-02,1.006857e-04,2.505597e-04,1.0000000000
571.8741,8.489303e-01,1.834995e-03,2.054262e-02,1.028209e-04,2.602417e-04,1.0000000000
575.2184,8.482170e-01,1.817962e-03,2.087853e-02,1.067181e-04,2.714189e-04,1.0000000000
578.5627,8.473602e-01,1.794174e-03,2.120954e-02,1.085871e-04,2.816949e-04,1.0000000000
581.9069,8.466981e-01,1.775592e-03,2.153907e-02,1.123191e-04,2.937716e-04,1.0000000000
585.2512,8.458366e-01,1.749163e-03,2.187708e-02,1.148731e-04,3.050648e-04,1.0000000000
588.5955,8.451249e-01,1.729432e-03,2.220616e-02,1.178523e-04,3.173454e-04,1.0000000000
591.9398,8.443333e-01,1.701942e-03,2.254500e-02,1.210435e-04,3.303827e-04,1.0000000000
595.2841,8.435649e-01,1.679166e-03,2.287500e-02,1.238862e-04,3.426325e-04,1.0000000000
598.6284,8.427953e-01,1.651845e-03,2.321484e-02,1.267195e-04,3.572665e-04,1.0000000000
601.9727,8.420276e-01,1.627151e-03,2.354290e-02,1.303790e-04,3.700589e-04,1.0000000000
605.3170,8.412571e-01,1.597844e-03,2.388755e-02,1.322649e-04,3.855443e-04,1.0000000000
608.6613,8.404790e-01,1.573299e-03,2.420519e-02,1.366065e-04,3.998323e-04,1.0000000000
612.0056,8.397241e-01,1.542175e-03,2.456105e-02,1.384553e-04,4.155587e-04,1.0000000000
615.3499,8.389454e-01,1.516530e-03,2.487044e-02,1.419575e-04,4.312426e-04,1.0000000000
618.6942,8.381719e-01,1.485068e-03,2.521930e-02,1.452006e-04,4.483030e-04,1.0000000000
622.0385,8.374281e-01,1.458287e-03,2.554428e-02,1.472445e-04,4.641022e-04,1.0000000000
625.3828,8.366275e-01,1.426662e-03,2.587058e-02,1.512108e-04,4.831264e-04,1.0000000000
628.7270,8.358975e-01,1.397883e-03,2.620440e-02,1.533363e-04,4.996226e-04,1.0000000000
632.0713,8.351038e-01,1.368500e-03,2.653146e-02,1.564730e-04,5.195447e-04,1.0000000000
635.4156,8.343703e-01,1.336227e-03,2.684656e-02,1.593047e-04,5.374687e-04,1.0000000000
638.7599,8.335716e-01,1.308514e-03,2.718875e-02,1.620779e-04,5.584323e-04,1.0000000000
642.1042,8.328665e-01,1.276528e-03,2.748736e-02,1.644108e-04,5.772668e-04,1.0000000000
645.4485,8.320445e-01,1.246148e-03,2.782753e-02,1.679834e-04,5.997794e-04,1.0000000000
648.7928,8.313491e-01,1.217383e-03,2.813046e-02,1.692167e-04,6.192989e-04,1.0000000000
652.1371,8.305533e-01,1.185049e-03,2.845099e-02,1.732260e-04,6.434032e-04,1.0000000000
655.4814,8.298299e-01,1.156622e-03,2.876420e-02,1.745386e-04,6.641459e-04,1.0000000000
658.8257,8.290500e-01,1.126096e-03,2.906959e-02,1.774532e-04,6.885149e-04,1.0000000000
662.1700,8.283562e-01,1.095959e-03,2.938110e-02,1.797821e-04,7.123310e-04,1.0000000000
665.5143,8.275345e-01,1.067463e-03,2.968204e-02,1.818331e-04,7.357448e-04,1.0000000000
668.8586,8.268805e-01,1.037464e-03,2.998385e-02,1.837854e-04,7.624734e-04,1.0000000000
672.2029,8.260644e-01,1.009203e-03,3.028421e-02,1.866802e-04,7.862999e-04,1.0000000000
675.5471,8.253834e-01,9.802219e-04,3.057542e-02,1.870229e-04,8.143596e-04,1.0000000000
678.8914,8.246148e-01,9.532074e-04,3.086942e-02,1.909864e-04,8.398912e-04,1.0000000000
682.2357,8.239068e-01,9.240294e-04,3.115972e-02,1.904550e-04,8.681974e-04,1.0000000000
685.5800,8.231648e-01,8.988315e-04,3.144020e-02,1.939345e-04,8.962901e-04,1.0000000000
688.9243,8.224441e-01,8.703904e-04,3.172427e-02,1.943207e-04,9.249783e-04,1.0000000000
692.2686,8.217307e-01,8.461036e-04,3.200812e-02,1.960647e-04,9.539515e-04,1.0000000000
695.6129,8.209958e-01,8.187307e-04,3.226777e-02,1.972306e-04,9.853746e-04,1.0000000000
698.9572,8.202905e-01,7.957438e-04,3.255899e-02,1.987126e-04,1.014112e-03,1.0000000000
702.3015,8.195881e-01,7.700524e-04,3.280937e-02,1.987740e-04,1.047060e-03,1.0000000000
705.6458,8.188446e-01,7.467515e-04,3.308151e-02,2.010167e-04,1.078016e-03,1.0000000000
708.9901,8.181801e-01,7.242265e-04,3.334408e-02,2.002049e-04,1.110780e-03,1.0000000000
712.3344,8.174545e-01,7.015309e-04,3.359222e-02,2.021623e-04,1.143832e-03,1.0000000000
715.6787,8.167374e-01,6.790970e-04,3.385361e-02,2.015617e-04,1.177694e-03,1.0000000000
719.0230,8.160929e-01,6.603469e-04,3.410182e-02,2.024701e-04,1.211307e-03,1.0000000000
722.3672,8.153339e-01,6.370909e-04,3.433935e-02,2.022975e-04,1.247474e-03,1.0000000000
725.7115,8.146964e-01,6.202745e-04,3.459877e-02,2.027013e-04,1.280988e-03,1.0000000000
729.0558,8.139717e-01,6.000612e-04,3.481674e-02,2.016389e-04,1.318702e-03,1.0000000000
732.4001,8.133183e-01,5.817334e-04,3.507286e-02,2.028919e-04,1.354371e-03,1.0000000000
